,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,Difference
2,11.0,0.001,11.0,0.001,11.0,11.0,11.0,0.001,0.001,11.0,11.0,11.0,Final
3,11.0,0.001,11.0,0.001,11.0,11.0,11.0,0.001,0.001,11.0,11.0,11.0,Starting
4,-1.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,-1.0,0.0,Difference
5,1.0,0.001,11.0,0.001,11.0,11.0,11.0,0.001,5.001,11.0,1.0,11.0,Final
6,1.0,0.001,11.0,0.001,11.0,11.0,11.0,0.001,5.001,11.0,1.0,11.0,Starting
7,-0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.5,0.0,Difference
8,0.001,2.001,11.0,0.001,11.0,11.0,11.0,2.501,5.001,11.0,0.001,11.0,Final
9,0.001,2.001,11.0,0.001,11.0,11.0,11.0,2.501,5.001,11.0,0.001,11.0,Starting
10,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,-0.3333333333333333,0.0,Difference
11,0.001,0.001,11.0,0.001,11.0,11.0,11.0,0.001,10.001000000000001,11.0,0.001,11.0,Final
12,0.001,0.001,11.0,0.001,11.0,11.0,11.0,0.001,10.001000000000001,11.0,0.001,11.0,Starting
13,0.3333333333333333,-0.25,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,Difference
14,3.334333333333333,0.001,11.0,0.001,11.0,11.0,11.0,0.001,10.001000000000001,11.0,3.334333333333333,11.0,Final
15,3.334333333333333,0.001,11.0,0.001,11.0,11.0,11.0,0.001,10.001000000000001,11.0,3.334333333333333,11.0,Starting
16,0.3333333333333333,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,Difference
