,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.75,-0.75,-1.0,-1.0,-1.0,-1.0,Difference
2,0.001,2.0,0.001,0.001,0.001,2.0,0.25,0.25,0.001,0.001,0.001,0.001,Final
3,0.001,2.0,0.001,0.001,0.001,2.0,0.25,0.25,0.001,0.001,0.001,0.001,Starting
4,-0.875,1.0,1.0,-1.0,-1.0,1.0,0.75,1.0,0.75,-0.75,-1.0,-1.0,Difference
5,0.001,3.0,1.001,0.001,0.001,3.0,1.0,1.25,0.751,0.001,0.001,0.001,Final
6,0.001,3.0,1.001,0.001,0.001,3.0,1.0,1.25,0.751,0.001,0.001,0.001,Starting
7,0.1111111111111111,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.6,0.8333333333333334,Difference
8,0.1121111111111111,3.0,1.001,0.001,0.001,3.0,2.0,1.25,1.751,0.001,0.601,0.8343333333333334,Final
9,0.1121111111111111,3.0,1.001,0.001,0.001,3.0,2.0,1.25,1.751,0.001,0.601,0.8343333333333334,Starting
10,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,-0.4,Difference
11,0.1121111111111111,3.0,1.001,0.001,1.001,4.0,1.0,1.25,0.7509999999999999,1.001,0.001,0.43433333333333335,Final
12,0.1121111111111111,3.0,1.001,0.001,1.001,4.0,1.0,1.25,0.7509999999999999,1.001,0.001,0.43433333333333335,Starting
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.25,0.14285714285714285,Difference
14,0.1121111111111111,3.0,1.001,0.001,1.001,4.0,1.0,1.25,0.7509999999999999,2.001,0.001,0.5771904761904763,Final
15,0.1121111111111111,3.0,1.001,0.001,1.001,4.0,1.0,1.25,0.7509999999999999,2.001,0.001,0.5771904761904763,Starting
16,0.75,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,Difference
17,0.862111111111111,2.0,1.001,0.001,1.001,4.0,2.0,1.25,0.7509999999999999,3.001,0.001,1.3271904761904763,Final
18,0.862111111111111,2.0,1.001,0.001,1.001,4.0,2.0,1.25,0.7509999999999999,3.001,0.001,1.3271904761904763,Starting
19,-0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.75,0.0,Difference
