,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,-1.0,0.5,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,Difference
2,0.001,3.5,0.001,0.001,6.0,0.001,6.0,0.001,6.0,0.001,0.001,0.001,Final
3,0.001,3.5,0.001,0.001,6.0,0.001,6.0,0.001,6.0,0.001,0.001,0.001,Starting
4,-0.6,0.5,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.5,-1.0,0.0,Difference
5,0.001,6.0,0.001,0.001,1.0,5.001,1.0,5.001,1.0,2.501,0.001,0.001,Final
6,0.001,6.0,0.001,0.001,1.0,5.001,1.0,5.001,1.0,2.501,0.001,0.001,Starting
7,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.75,1.0,-0.4,0.3333333333333333,Difference
8,0.001,1.0,5.001,0.001,6.0,5.001,6.0,10.001000000000001,4.75,7.5009999999999994,0.001,1.6676666666666664,Final
9,0.001,1.0,5.001,0.001,6.0,5.001,6.0,10.001000000000001,4.75,7.5009999999999994,0.001,1.6676666666666664,Starting
10,0.3333333333333333,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.3333333333333333,Difference
11,1.6676666666666664,1.0,10.001000000000001,0.001,6.0,10.001000000000001,11.0,10.001000000000001,0.001,7.5009999999999994,0.001,3.334333333333333,Final
12,1.6676666666666664,1.0,10.001000000000001,0.001,6.0,10.001000000000001,11.0,10.001000000000001,0.001,7.5009999999999994,0.001,3.334333333333333,Starting
13,-1.0,0.25,0.0,0.0,1.0,1.0,0.0,-1.0,0.5,0.0,-1.0,-1.0,Difference
14,0.001,2.25,10.001000000000001,0.001,11.0,15.001000000000001,11.0,5.001000000000001,2.501,7.5009999999999994,0.001,0.001,Final
15,0.001,2.25,10.001000000000001,0.001,11.0,15.001000000000001,11.0,5.001000000000001,2.501,7.5009999999999994,0.001,0.001,Starting
