,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.5,1.0,1.0,Difference
2,11.0,11.0,11.0,11.0,1.0,1.0,11.0,0.001,11.0,6.0,11.0,11.0,Final
3,11.0,11.0,11.0,11.0,1.0,1.0,11.0,0.001,11.0,6.0,11.0,11.0,Starting
4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.5,0.0,-1.0,Difference
5,11.0,11.0,11.0,11.0,1.0,1.0,1.0,10.001,1.0,11.0,11.0,1.0,Final
6,11.0,11.0,11.0,11.0,1.0,1.0,1.0,10.001,1.0,11.0,11.0,1.0,Starting
7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,0.0,-1.0,Difference
8,11.0,11.0,11.0,11.0,1.0,1.0,0.001,10.001,1.0,16.0,11.0,0.001,Final
9,11.0,11.0,11.0,11.0,1.0,1.0,0.001,10.001,1.0,16.0,11.0,0.001,Starting
10,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,Difference
11,11.0,11.0,11.0,11.0,1.0,1.0,0.001,10.001,1.0,16.0,11.0,5.001,Final
12,11.0,11.0,11.0,11.0,1.0,1.0,0.001,10.001,1.0,16.0,11.0,5.001,Starting
13,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,0.5,0.0,-0.5,Difference
14,11.0,11.0,11.0,11.0,1.0,1.0,0.001,10.001,0.001,21.0,11.0,0.001000000000000334,Final
15,11.0,11.0,11.0,11.0,1.0,1.0,0.001,10.001,0.001,21.0,11.0,0.001000000000000334,Starting
16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.5,Difference
17,11.0,11.0,11.0,11.0,1.0,1.0,5.001,10.001,5.001,21.0,11.0,0.001,Final
18,11.0,11.0,11.0,11.0,1.0,1.0,5.001,10.001,5.001,21.0,11.0,0.001,Starting
19,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,-1.0,Difference
20,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
21,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
22,,,,,,,,,,,,,Difference
23,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
24,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
25,,,,,,,,,,,,,Difference
26,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
27,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
28,,,,,,,,,,,,,Difference
29,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
30,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
31,,,,,,,,,,,,,Difference
32,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
33,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
34,,,,,,,,,,,,,Difference
35,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
36,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
37,,,,,,,,,,,,,Difference
38,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
39,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
40,,,,,,,,,,,,,Difference
41,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Final
42,11.0,11.0,11.0,11.0,1.0,1.0,0.001000000000000334,10.001,5.001,26.0,11.0,0.001,Starting
43,0.0,-1.0,0.0,-1.0,0.0,0.0,-0.25,0.0,0.5,0.5,0.0,-0.2,Difference
44,11.0,1.0,11.0,1.0,1.0,1.0,0.001,10.001,10.001000000000001,31.0,11.0,0.001,Final
45,11.0,1.0,11.0,1.0,1.0,1.0,0.001,10.001,10.001000000000001,31.0,11.0,0.001,Starting
46,0.0,1.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.4,Difference
47,11.0,11.0,11.0,0.001,1.0,1.0,2.501,10.001,10.001000000000001,31.0,11.0,4.001,Final
48,11.0,11.0,11.0,0.001,1.0,1.0,2.501,10.001,10.001000000000001,31.0,11.0,4.001,Starting
49,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
50,11.0,11.0,11.0,0.001,1.0,1.0,5.0009999999999994,10.001,10.001000000000001,31.0,11.0,4.001,Final
51,11.0,11.0,11.0,0.001,1.0,1.0,5.0009999999999994,10.001,10.001000000000001,31.0,11.0,4.001,Starting
52,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
53,11.0,11.0,11.0,0.001,1.0,1.0,7.5009999999999994,10.001,10.001000000000001,31.0,11.0,4.001,Final
54,11.0,11.0,11.0,0.001,1.0,1.0,7.5009999999999994,10.001,10.001000000000001,31.0,11.0,4.001,Starting
55,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
56,11.0,11.0,11.0,0.001,1.0,1.0,10.001,10.001,10.001000000000001,31.0,11.0,4.001,Final
57,11.0,11.0,11.0,0.001,1.0,1.0,10.001,10.001,10.001000000000001,31.0,11.0,4.001,Starting
58,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
59,11.0,11.0,11.0,0.001,1.0,1.0,12.501,10.001,10.001000000000001,31.0,11.0,4.001,Final
60,11.0,11.0,11.0,0.001,1.0,1.0,12.501,10.001,10.001000000000001,31.0,11.0,4.001,Starting
61,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
62,11.0,11.0,11.0,0.001,1.0,1.0,15.001,10.001,10.001000000000001,31.0,11.0,4.001,Final
63,11.0,11.0,11.0,0.001,1.0,1.0,15.001,10.001,10.001000000000001,31.0,11.0,4.001,Starting
64,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
65,11.0,11.0,11.0,0.001,1.0,1.0,17.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
66,11.0,11.0,11.0,0.001,1.0,1.0,17.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
67,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
68,11.0,11.0,11.0,0.001,1.0,1.0,20.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
69,11.0,11.0,11.0,0.001,1.0,1.0,20.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
70,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
71,11.0,11.0,11.0,0.001,1.0,1.0,22.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
72,11.0,11.0,11.0,0.001,1.0,1.0,22.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
73,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
74,11.0,11.0,11.0,0.001,1.0,1.0,25.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
75,11.0,11.0,11.0,0.001,1.0,1.0,25.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
76,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
77,11.0,11.0,11.0,0.001,1.0,1.0,27.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
78,11.0,11.0,11.0,0.001,1.0,1.0,27.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
79,0.0,0.0,0.0,0.5,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,Difference
80,11.0,11.0,11.0,5.001,1.0,1.0,25.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
81,11.0,11.0,11.0,5.001,1.0,1.0,25.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
82,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
83,11.0,11.0,11.0,0.001000000000000334,1.0,1.0,27.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
84,11.0,11.0,11.0,0.001000000000000334,1.0,1.0,27.500999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
85,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
86,11.0,11.0,11.0,0.001,1.0,1.0,30.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Final
87,11.0,11.0,11.0,0.001,1.0,1.0,30.000999999999998,10.001,10.001000000000001,31.0,11.0,4.001,Starting
88,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
89,11.0,11.0,11.0,0.001,1.0,1.0,32.501,10.001,10.001000000000001,31.0,11.0,4.001,Final
90,11.0,11.0,11.0,0.001,1.0,1.0,32.501,10.001,10.001000000000001,31.0,11.0,4.001,Starting
91,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
92,11.0,11.0,11.0,0.001,1.0,1.0,35.001,10.001,10.001000000000001,31.0,11.0,4.001,Final
93,11.0,11.0,11.0,0.001,1.0,1.0,35.001,10.001,10.001000000000001,31.0,11.0,4.001,Starting
94,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
95,11.0,11.0,11.0,0.001,1.0,1.0,37.501,10.001,10.001000000000001,31.0,11.0,4.001,Final
96,11.0,11.0,11.0,0.001,1.0,1.0,37.501,10.001,10.001000000000001,31.0,11.0,4.001,Starting
97,0.0,0.0,0.0,0.5,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,Difference
98,11.0,11.0,11.0,5.001,1.0,1.0,35.001,10.001,10.001000000000001,31.0,11.0,4.001,Final
99,11.0,11.0,11.0,5.001,1.0,1.0,35.001,10.001,10.001000000000001,31.0,11.0,4.001,Starting
100,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
101,11.0,11.0,11.0,0.001000000000000334,1.0,1.0,37.501,10.001,10.001000000000001,31.0,11.0,4.001,Final
102,11.0,11.0,11.0,0.001000000000000334,1.0,1.0,37.501,10.001,10.001000000000001,31.0,11.0,4.001,Starting
103,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Difference
