,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,0.02,0.03773584905660377,0.041666666666666664,0.024193548387096774,0.0,0.0,1.0,1.0,0.8333333333333334,-0.125,1.0,1.0,Difference
2,1.2,1.3773584905660377,1.4166666666666665,1.2419354838709677,1.0,1.0,11.0,11.0,9.333333333333334,0.001,11.0,11.0,Final
3,1.2,1.3773584905660377,1.4166666666666665,1.2419354838709677,1.0,1.0,11.0,11.0,9.333333333333334,0.001,11.0,11.0,Starting
4,0.0,0.018867924528301886,0.0,0.008064516129032258,0.0,0.0,0.2,0.0,-0.16666666666666666,-0.125,0.0,0.1,Difference
5,1.2,1.5660377358490565,1.4166666666666665,1.3225806451612903,1.0,1.0,13.0,11.0,7.666666666666668,0.001,11.0,12.0,Final
6,1.2,1.5660377358490565,1.4166666666666665,1.3225806451612903,1.0,1.0,13.0,11.0,7.666666666666668,0.001,11.0,12.0,Starting
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.16666666666666666,0.0,0.0,-0.1,Difference
8,1.2,1.5660377358490565,1.4166666666666665,1.3225806451612903,1.0,1.0,13.0,16.0,6.000000000000002,0.001,11.0,11.0,Final
9,1.2,1.5660377358490565,1.4166666666666665,1.3225806451612903,1.0,1.0,13.0,16.0,6.000000000000002,0.001,11.0,11.0,Starting
10,,,,,,,,,,,,,Difference
11,1.2,1.5660377358490565,1.4166666666666665,1.3225806451612903,1.0,1.0,13.0,16.0,6.000000000000002,0.001,11.0,11.0,Final
12,1.2,1.5660377358490565,1.4166666666666665,1.3225806451612903,1.0,1.0,13.0,16.0,6.000000000000002,0.001,11.0,11.0,Starting
13,0.0,0.018867924528301886,0.0,0.008064516129032258,0.0,0.0,0.2,0.0,-0.16666666666666666,-0.125,0.0,0.0,Difference
