,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,Difference
2,6.0,0.001,6.0,0.001,6.0,6.0,6.0,4.75,4.75,6.0,6.0,6.0,Final
3,6.0,0.001,6.0,0.001,6.0,6.0,6.0,4.75,4.75,6.0,6.0,6.0,Starting
4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,1.0,0.0,Difference
5,11.0,1.001,6.0,0.001,6.0,6.0,6.0,7.25,2.25,6.0,11.0,6.0,Final
6,11.0,1.001,6.0,0.001,6.0,6.0,6.0,7.25,2.25,6.0,11.0,6.0,Starting
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,-1.0,0.0,Difference
8,11.0,1.001,6.0,0.001,6.0,6.0,11.0,9.75,2.25,11.0,6.0,6.0,Final
9,11.0,1.001,6.0,0.001,6.0,6.0,11.0,9.75,2.25,11.0,6.0,6.0,Starting
10,-0.5,0.3333333333333333,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-0.5,Difference
11,8.5,2.6676666666666664,6.0,0.001,11.0,6.0,16.0,9.75,2.25,16.0,1.0,3.5,Final
12,8.5,2.6676666666666664,6.0,0.001,11.0,6.0,16.0,9.75,2.25,16.0,1.0,3.5,Starting
13,0.3333333333333333,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.3333333333333333,0.0,Difference
14,10.166666666666666,1.4176666666666664,6.0,0.001,11.0,6.0,16.0,9.75,0.001,16.0,2.6666666666666665,3.5,Final
15,10.166666666666666,1.4176666666666664,6.0,0.001,11.0,6.0,16.0,9.75,0.001,16.0,2.6666666666666665,3.5,Starting
16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.75,0.0,0.0,0.0,Difference
17,10.166666666666666,1.4176666666666664,6.0,0.001,16.0,11.0,16.0,4.75,3.751,16.0,2.6666666666666665,3.5,Final
